,FlightDate,Airport,Origin_AirTraffic_count,Dest_AirTraffic_count,Total_AirTraffic_count,Date,Holiday
0,2018-01-01,DTW,322,320,642,2018-01-01,New Year's Day
1,2018-01-02,DTW,413,419,832,,
2,2018-01-03,DTW,407,403,810,,
3,2018-01-04,DTW,406,405,811,,
4,2018-01-05,DTW,410,408,818,,
5,2018-01-06,DTW,305,305,610,,
6,2018-01-07,DTW,405,404,809,,
7,2018-01-08,DTW,438,435,873,,
8,2018-01-09,DTW,419,422,841,,
9,2018-01-10,DTW,430,425,855,,
10,2018-01-11,DTW,436,435,871,,
11,2018-01-12,DTW,439,439,878,,
12,2018-01-13,DTW,287,289,576,,
13,2018-01-14,DTW,313,312,625,,
14,2018-01-15,DTW,425,425,850,2018-01-15,"Martin Luther King, Jr. Day"
15,2018-01-16,DTW,418,421,839,,
16,2018-01-17,DTW,430,427,857,,
17,2018-01-18,DTW,436,435,871,,
18,2018-01-19,DTW,439,439,878,,
19,2018-01-20,DTW,298,298,596,,
20,2018-01-21,DTW,390,391,781,,
21,2018-01-22,DTW,439,439,878,,
22,2018-01-23,DTW,418,421,839,,
23,2018-01-24,DTW,430,426,856,,
24,2018-01-25,DTW,436,435,871,,
25,2018-01-26,DTW,439,439,878,,
26,2018-01-27,DTW,298,298,596,,
27,2018-01-28,DTW,390,391,781,,
28,2018-01-29,DTW,439,439,878,,
29,2018-01-30,DTW,418,421,839,,
30,2018-01-31,DTW,429,427,856,,
31,2018-02-01,DTW,437,436,873,,
32,2018-02-02,DTW,440,440,880,,
33,2018-02-03,DTW,283,284,567,,
34,2018-02-04,DTW,311,311,622,,
35,2018-02-05,DTW,439,439,878,,
36,2018-02-06,DTW,419,422,841,,
37,2018-02-07,DTW,431,428,859,,
38,2018-02-08,DTW,437,436,873,,
39,2018-02-09,DTW,440,440,880,,
40,2018-02-10,DTW,300,297,597,,
41,2018-02-11,DTW,392,394,786,,
42,2018-02-12,DTW,441,440,881,,
43,2018-02-13,DTW,420,423,843,,
44,2018-02-14,DTW,400,397,797,2018-02-14,Valentine's Day
45,2018-02-15,DTW,439,441,880,,
46,2018-02-16,DTW,452,448,900,,
47,2018-02-17,DTW,290,292,582,,
48,2018-02-18,DTW,329,327,656,,
49,2018-02-19,DTW,442,441,883,2018-02-19,Washington's Birthday
50,2018-02-20,DTW,434,438,872,,
51,2018-02-21,DTW,444,439,883,,
52,2018-02-22,DTW,446,445,891,,
53,2018-02-23,DTW,449,450,899,,
54,2018-02-24,DTW,310,311,621,,
55,2018-02-25,DTW,404,402,806,,
56,2018-02-26,DTW,450,450,900,,
57,2018-02-27,DTW,434,438,872,,
58,2018-02-28,DTW,441,438,879,,
59,2018-03-01,DTW,445,446,891,,
60,2018-03-02,DTW,471,471,942,,
61,2018-03-03,DTW,318,319,637,,
62,2018-03-04,DTW,418,419,837,,
63,2018-03-05,DTW,475,474,949,,
64,2018-03-06,DTW,460,463,923,,
65,2018-03-07,DTW,471,466,937,,
66,2018-03-08,DTW,473,475,948,,
67,2018-03-09,DTW,479,479,958,,
68,2018-03-10,DTW,338,338,676,,
69,2018-03-11,DTW,435,438,873,,
70,2018-03-12,DTW,480,479,959,,
71,2018-03-13,DTW,464,467,931,,
72,2018-03-14,DTW,475,470,945,,
73,2018-03-15,DTW,477,478,955,,
74,2018-03-16,DTW,481,481,962,,
75,2018-03-17,DTW,340,339,679,,
76,2018-03-18,DTW,436,438,874,,
77,2018-03-19,DTW,480,479,959,,
78,2018-03-20,DTW,464,467,931,,
79,2018-03-21,DTW,476,470,946,,
80,2018-03-22,DTW,477,478,955,,
81,2018-03-23,DTW,482,481,963,,
82,2018-03-24,DTW,339,339,678,,
83,2018-03-25,DTW,435,437,872,,
84,2018-03-26,DTW,480,479,959,,
85,2018-03-27,DTW,464,467,931,,
86,2018-03-28,DTW,474,470,944,,
87,2018-03-29,DTW,476,477,953,,
88,2018-03-30,DTW,482,482,964,,
89,2018-03-31,DTW,336,334,670,,
90,2018-04-01,DTW,432,438,870,2018-04-01,Western Easter
91,2018-04-02,DTW,481,481,962,,
92,2018-04-03,DTW,466,465,931,,
93,2018-04-04,DTW,469,467,936,,
94,2018-04-05,DTW,471,473,944,,
95,2018-04-06,DTW,476,475,951,,
96,2018-04-07,DTW,322,319,641,,
97,2018-04-08,DTW,438,441,879,2018-04-08,Eastern Easter
98,2018-04-09,DTW,480,477,957,,
99,2018-04-10,DTW,463,465,928,,
100,2018-04-11,DTW,470,467,937,,
101,2018-04-12,DTW,472,474,946,,
102,2018-04-13,DTW,476,475,951,,
103,2018-04-14,DTW,312,312,624,,
104,2018-04-15,DTW,435,435,870,,
105,2018-04-16,DTW,480,477,957,,
106,2018-04-17,DTW,460,462,922,,
107,2018-04-18,DTW,467,465,932,,
108,2018-04-19,DTW,474,475,949,,
109,2018-04-20,DTW,477,476,953,,
110,2018-04-21,DTW,315,315,630,,
111,2018-04-22,DTW,441,441,882,,
112,2018-04-23,DTW,481,480,961,,
113,2018-04-24,DTW,460,461,921,,
114,2018-04-25,DTW,466,465,931,,
115,2018-04-26,DTW,475,477,952,,
116,2018-04-27,DTW,479,478,957,,
117,2018-04-28,DTW,320,321,641,,
118,2018-04-29,DTW,445,444,889,,
119,2018-04-30,DTW,479,478,957,,
120,2018-05-01,DTW,460,458,918,,
121,2018-05-02,DTW,464,466,930,,
122,2018-05-03,DTW,473,475,948,,
123,2018-05-04,DTW,478,476,954,,
124,2018-05-05,DTW,319,318,637,,
125,2018-05-06,DTW,447,448,895,,
126,2018-05-07,DTW,483,481,964,,
127,2018-05-08,DTW,465,464,929,,
128,2018-05-09,DTW,469,470,939,,
129,2018-05-10,DTW,478,480,958,,
130,2018-05-11,DTW,482,481,963,,
131,2018-05-12,DTW,310,309,619,,
132,2018-05-13,DTW,396,397,793,,
133,2018-05-14,DTW,483,481,964,,
134,2018-05-15,DTW,466,466,932,,
135,2018-05-16,DTW,472,472,944,,
136,2018-05-17,DTW,479,481,960,,
137,2018-05-18,DTW,484,482,966,,
138,2018-05-19,DTW,320,318,638,,
139,2018-05-20,DTW,449,450,899,,
140,2018-05-21,DTW,485,483,968,,
141,2018-05-22,DTW,467,467,934,,
142,2018-05-23,DTW,473,472,945,,
143,2018-05-24,DTW,483,485,968,,
144,2018-05-25,DTW,485,484,969,,
145,2018-05-26,DTW,307,306,613,,
146,2018-05-27,DTW,302,304,606,,
147,2018-05-28,DTW,447,444,891,2018-05-28,Memorial Day
148,2018-05-29,DTW,467,468,935,,
149,2018-05-30,DTW,472,472,944,,
