Reporting_Airline,Origin,OriginCityName,Dest,DestCityName,route,Origin_Latitude,Origin_Longitude,Dest_Latitude,Dest_Longitude
UA,ABQ,"Albuquerque, NM",DEN,"Denver, CO",ABQ-DEN,35.0402,-106.609,39.8617,-104.67299999999999
UA,ABQ,"Albuquerque, NM",IAH,"Houston, TX",ABQ-IAH,35.0402,-106.609,29.9844,-95.3414
UA,ALB,"Albany, NY",ORD,"Chicago, IL",ALB-ORD,42.7483,-73.8017,41.9786,-87.9047
UA,ANC,"Anchorage, AK",DEN,"Denver, CO",ANC-DEN,61.1744,-149.996,39.8617,-104.67299999999999
UA,ANC,"Anchorage, AK",ORD,"Chicago, IL",ANC-ORD,61.1744,-149.996,41.9786,-87.9047
UA,ANC,"Anchorage, AK",SFO,"San Francisco, CA",ANC-SFO,61.1744,-149.996,37.619,-122.375
UA,ATL,"Atlanta, GA",DEN,"Denver, CO",ATL-DEN,33.6367,-84.4281,39.8617,-104.67299999999999
UA,ATL,"Atlanta, GA",EWR,"Newark, NJ",ATL-EWR,33.6367,-84.4281,40.6925,-74.1686
UA,ATL,"Atlanta, GA",IAD,"Washington, DC",ATL-IAD,33.6367,-84.4281,38.9445,-77.4558
UA,ATL,"Atlanta, GA",IAH,"Houston, TX",ATL-IAH,33.6367,-84.4281,29.9844,-95.3414
UA,ATL,"Atlanta, GA",ORD,"Chicago, IL",ATL-ORD,33.6367,-84.4281,41.9786,-87.9047
UA,ATL,"Atlanta, GA",SFO,"San Francisco, CA",ATL-SFO,33.6367,-84.4281,37.619,-122.375
UA,AUS,"Austin, TX",DEN,"Denver, CO",AUS-DEN,30.1945,-97.6699,39.8617,-104.67299999999999
UA,AUS,"Austin, TX",EWR,"Newark, NJ",AUS-EWR,30.1945,-97.6699,40.6925,-74.1686
UA,AUS,"Austin, TX",IAD,"Washington, DC",AUS-IAD,30.1945,-97.6699,38.9445,-77.4558
UA,AUS,"Austin, TX",IAH,"Houston, TX",AUS-IAH,30.1945,-97.6699,29.9844,-95.3414
UA,AUS,"Austin, TX",LAX,"Los Angeles, CA",AUS-LAX,30.1945,-97.6699,33.9425,-118.40799999999999
UA,AUS,"Austin, TX",ORD,"Chicago, IL",AUS-ORD,30.1945,-97.6699,41.9786,-87.9047
UA,AUS,"Austin, TX",SFO,"San Francisco, CA",AUS-SFO,30.1945,-97.6699,37.619,-122.375
UA,AVL,"Asheville, NC",EWR,"Newark, NJ",AVL-EWR,35.4362,-82.5418,40.6925,-74.1686
UA,BDL,"Hartford, CT",DEN,"Denver, CO",BDL-DEN,41.9392,-72.6833,39.8617,-104.67299999999999
UA,BDL,"Hartford, CT",EWR,"Newark, NJ",BDL-EWR,41.9392,-72.6833,40.6925,-74.1686
UA,BDL,"Hartford, CT",IAD,"Washington, DC",BDL-IAD,41.9392,-72.6833,38.9445,-77.4558
UA,BDL,"Hartford, CT",ORD,"Chicago, IL",BDL-ORD,41.9392,-72.6833,41.9786,-87.9047
UA,BIL,"Billings, MT",DEN,"Denver, CO",BIL-DEN,45.8077,-108.54299999999999,39.8617,-104.67299999999999
UA,BNA,"Nashville, TN",EWR,"Newark, NJ",BNA-EWR,36.1245,-86.6782,40.6925,-74.1686
UA,BNA,"Nashville, TN",IAH,"Houston, TX",BNA-IAH,36.1245,-86.6782,29.9844,-95.3414
UA,BNA,"Nashville, TN",ORD,"Chicago, IL",BNA-ORD,36.1245,-86.6782,41.9786,-87.9047
UA,BNA,"Nashville, TN",SFO,"San Francisco, CA",BNA-SFO,36.1245,-86.6782,37.619,-122.375
UA,BOI,"Boise, ID",DEN,"Denver, CO",BOI-DEN,43.5644,-116.223,39.8617,-104.67299999999999
UA,BOI,"Boise, ID",SFO,"San Francisco, CA",BOI-SFO,43.5644,-116.223,37.619,-122.375
UA,BOS,"Boston, MA",DEN,"Denver, CO",BOS-DEN,42.3643,-71.0052,39.8617,-104.67299999999999
